node,network
10,1
12,1
16,1
52,1
53,1
54,1
56,1
57,1
64,1
65,1
137,1
140,1
145,1
148,1
149,1
150,1
151,1
153,1
156,1
162,1
165,1
183,1
185,1
186,1
187,1
190,1
192,1
194,1
219,1
1,2
4,2
7,2
8,2
9,2
14,2
17,2
19,2
21,2
22,2
30,2
31,2
47,2
48,2
55,2
70,2
111,2
112,2
116,2
139,2
142,2
143,2
147,2
154,2
157,2
164,2
182,2
184,2
193,2
196,2
199,2
242,2
246,2
247,2
3,3
5,3
6,3
13,3
49,3
50,3
85,3
86,3
90,3
96,3
115,3
134,3
138,3
141,3
203,3
222,3
223,3
225,3
227,3
239,3
23,4
24,4
25,4
26,4
27,4
33,4
34,4
35,4
37,4
38,4
39,4
40,4
45,4
46,4
51,4
58,4
60,4
61,4
62,4
63,4
84,4
89,4
92,4
97,4
109,4
158,4
159,4
160,4
161,4
163,4
166,4
167,4
168,4
170,4
171,4
172,4
173,4
174,4
179,4
180,4
181,4
188,4
189,4
191,4
195,4
197,4
202,4
218,4
228,4
235,4
42,5
68,5
72,5
75,5
77,5
79,5
80,5
82,5
87,5
98,5
176,5
198,5
205,5
207,5
208,5
211,5
215,5
216,5
76,6
78,6
81,6
100,6
102,6
212,6
213,6
214,6
241,6
41,7
43,7
59,7
66,7
67,7
69,7
71,7
73,7
74,7
175,7
177,7
200,7
201,7
204,7
206,7
209,7
210,7
240,7
2,8
11,8
15,8
18,8
20,8
28,8
29,8
32,8
36,8
44,8
83,8
88,8
91,8
110,8
119,8
135,8
136,8
144,8
146,8
152,8
155,8
169,8
178,8
220,8
221,8
224,8
226,8
244,8
245,8
251,8
93,9
94,9
95,9
99,9
120,9
121,9
122,9
123,9
124,9
125,9
126,9
127,9
128,9
217,9
229,9
230,9
231,9
232,9
233,9
234,9
257,9
258,9
259,9
260,9
261,9
262,9
263,9
264,9
265,9
101,10
103,10
104,10
105,10
106,10
107,10
108,10
113,10
114,10
117,10
118,10
129,10
130,10
131,10
132,10
133,10
236,10
237,10
238,10
243,10
248,10
249,10
250,10
252,10
253,10
254,10
255,10
256,10
266,10
267,10
268,10
